# Canonical	Localized
# Source: Microsoft Excel function translation tables (de-DE).
# Generated by scripts/generate-locale-function-tsv.js on 1970-01-01 (UTC). Do not edit by hand.
# See `src/locale/data/README.md` for format + generators.

ABS	ABS
ACCRINT	ACCRINT
ACCRINTM	ACCRINTM
ACOS	ACOS
ACOSH	ACOSH
ACOT	ACOT
ACOTH	ACOTH
ADDRESS	ADDRESS
AGGREGATE	AGGREGATE
AMORDEGRC	AMORDEGRC
AMORLINC	AMORLINC
AND	AND
ARABIC	ARABIC
AREAS	AREAS
ASC	ASC
ASIN	ASIN
ASINH	ASINH
ATAN	ATAN
ATAN2	ATAN2
ATANH	ATANH
AVEDEV	AVEDEV
AVERAGE	MITTELWERT
AVERAGEA	AVERAGEA
AVERAGEIF	AVERAGEIF
AVERAGEIFS	AVERAGEIFS
BAHTTEXT	BAHTTEXT
BASE	BASE
BESSELI	BESSELI
BESSELJ	BESSELJ
BESSELK	BESSELK
BESSELY	BESSELY
BETA.DIST	BETA.DIST
BETA.INV	BETA.INV
BETADIST	BETADIST
BETAINV	BETAINV
BIN2DEC	BIN2DEC
BIN2HEX	BIN2HEX
BIN2OCT	BIN2OCT
BINOM.DIST	BINOM.DIST
BINOM.DIST.RANGE	BINOM.DIST.RANGE
BINOM.INV	BINOM.INV
BINOMDIST	BINOMDIST
BITAND	BITAND
BITLSHIFT	BITLSHIFT
BITOR	BITOR
BITRSHIFT	BITRSHIFT
BITXOR	BITXOR
BYCOL	BYCOL
BYROW	BYROW
CEILING	CEILING
CEILING.MATH	CEILING.MATH
CEILING.PRECISE	CEILING.PRECISE
CELL	CELL
CHIDIST	CHIDIST
CHIINV	CHIINV
CHISQ.DIST	CHISQ.DIST
CHISQ.DIST.RT	CHISQ.DIST.RT
CHISQ.INV	CHISQ.INV
CHISQ.INV.RT	CHISQ.INV.RT
CHISQ.TEST	CHISQ.TEST
CHITEST	CHITEST
CHOOSE	CHOOSE
CHOOSECOLS	CHOOSECOLS
CHOOSEROWS	CHOOSEROWS
CLEAN	CLEAN
COLUMN	COLUMN
COLUMNS	COLUMNS
COMBIN	COMBIN
COMBINA	COMBINA
COMPLEX	COMPLEX
CONCAT	CONCAT
CONCATENATE	CONCATENATE
CONFIDENCE	CONFIDENCE
CONFIDENCE.NORM	CONFIDENCE.NORM
CONFIDENCE.T	CONFIDENCE.T
CONVERT	CONVERT
CORREL	CORREL
COS	COS
COSH	COSH
COT	COT
COTH	COTH
COUNT	COUNT
COUNTA	COUNTA
COUNTBLANK	COUNTBLANK
COUNTIF	ZÄHLENWENN
COUNTIFS	COUNTIFS
COUPDAYBS	COUPDAYBS
COUPDAYS	COUPDAYS
COUPDAYSNC	COUPDAYSNC
COUPNCD	COUPNCD
COUPNUM	COUPNUM
COUPPCD	COUPPCD
COVAR	COVAR
COVARIANCE.P	COVARIANCE.P
COVARIANCE.S	COVARIANCE.S
CRITBINOM	CRITBINOM
CSC	CSC
CSCH	CSCH
CUBEKPIMEMBER	CUBEKPIMITGLIED
CUBEMEMBER	CUBEMITGLIED
CUBEMEMBERPROPERTY	CUBEMITGLIEDSEIGENSCHAFT
CUBERANKEDMEMBER	CUBERANGMITGLIED
CUBESET	CUBEMENGE
CUBESETCOUNT	CUBEMENGENANZAHL
CUBEVALUE	CUBEWERT
CUMIPMT	CUMIPMT
CUMPRINC	CUMPRINC
DATE	DATE
DATEDIF	DATEDIF
DATEVALUE	DATEVALUE
DAVERAGE	DAVERAGE
DAY	DAY
DAYS	DAYS
DAYS360	DAYS360
DB	DB
DBCS	DBCS
DCOUNT	DCOUNT
DCOUNTA	DCOUNTA
DDB	DDB
DEC2BIN	DEC2BIN
DEC2HEX	DEC2HEX
DEC2OCT	DEC2OCT
DECIMAL	DECIMAL
DEGREES	DEGREES
DELTA	DELTA
DEVSQ	DEVSQ
DGET	DGET
DISC	DISC
DMAX	DMAX
DMIN	DMIN
DOLLAR	DOLLAR
DOLLARDE	DOLLARDE
DOLLARFR	DOLLARFR
DPRODUCT	DPRODUCT
DROP	DROP
DSTDEV	DSTDEV
DSTDEVP	DSTDEVP
DSUM	DSUM
DURATION	DURATION
DVAR	DVAR
DVARP	DVARP
EDATE	EDATE
EFFECT	EFFECT
EOMONTH	EOMONTH
ERF	ERF
ERFC	ERFC
ERROR.TYPE	ERROR.TYPE
EVEN	EVEN
EXACT	EXACT
EXP	EXP
EXPAND	EXPAND
EXPON.DIST	EXPON.DIST
EXPONDIST	EXPONDIST
F.DIST	F.DIST
F.DIST.RT	F.DIST.RT
F.INV	F.INV
F.INV.RT	F.INV.RT
F.TEST	F.TEST
FACT	FACT
FACTDOUBLE	FACTDOUBLE
FALSE	FALSE
FDIST	FDIST
FILTER	FILTER
FIND	FIND
FINDB	FINDB
FINV	FINV
FISHER	FISHER
FISHERINV	FISHERINV
FLOOR	FLOOR
FLOOR.MATH	FLOOR.MATH
FLOOR.PRECISE	FLOOR.PRECISE
FORECAST	FORECAST
FORECAST.ETS	FORECAST.ETS
FORECAST.ETS.CONFINT	FORECAST.ETS.CONFINT
FORECAST.ETS.SEASONALITY	FORECAST.ETS.SEASONALITY
FORECAST.ETS.STAT	FORECAST.ETS.STAT
FORECAST.LINEAR	FORECAST.LINEAR
FORMULATEXT	FORMULATEXT
FREQUENCY	FREQUENCY
FTEST	FTEST
FV	FV
FVSCHEDULE	FVSCHEDULE
GAMMA	GAMMA
GAMMA.DIST	GAMMA.DIST
GAMMA.INV	GAMMA.INV
GAMMADIST	GAMMADIST
GAMMAINV	GAMMAINV
GAMMALN	GAMMALN
GAMMALN.PRECISE	GAMMALN.PRECISE
GAUSS	GAUSS
GCD	GCD
GEOMEAN	GEOMEAN
GESTEP	GESTEP
GETPIVOTDATA	GETPIVOTDATA
GROWTH	GROWTH
HARMEAN	HARMEAN
HEX2BIN	HEX2BIN
HEX2DEC	HEX2DEC
HEX2OCT	HEX2OCT
HLOOKUP	HLOOKUP
HOUR	HOUR
HSTACK	HSTACK
HYPERLINK	HYPERLINK
HYPGEOM.DIST	HYPGEOM.DIST
HYPGEOMDIST	HYPGEOMDIST
IF	WENN
IFERROR	IFERROR
IFNA	IFNA
IFS	IFS
IMABS	IMABS
IMAGE	IMAGE
IMAGINARY	IMAGINARY
IMARGUMENT	IMARGUMENT
IMCONJUGATE	IMCONJUGATE
IMCOS	IMCOS
IMDIV	IMDIV
IMEXP	IMEXP
IMLN	IMLN
IMLOG10	IMLOG10
IMLOG2	IMLOG2
IMPOWER	IMPOWER
IMPRODUCT	IMPRODUCT
IMREAL	IMREAL
IMSIN	IMSIN
IMSQRT	IMSQRT
IMSUB	IMSUB
IMSUM	IMSUM
INDEX	INDEX
INDIRECT	INDIRECT
INFO	INFO
INT	INT
INTERCEPT	INTERCEPT
