# Canonical	Localized
# Source: Microsoft Excel (fr-FR) function name translations (Excel for Microsoft 365) via Range.Formula/FormulaLocal round-trip.
# Generated by scripts/generate-locale-function-tsv.js on 1970-01-01 (UTC). Do not edit by hand.
# See `src/locale/data/README.md` for format + generators.

ABS	ABS
ACCRINT	INTERET.ACC
ACCRINTM	INTERET.ACC.MAT
ACOS	ACOS
ACOSH	ACOSH
ACOT	ACOT
ACOTH	ACOTH
ADDRESS	ADRESSE
AGGREGATE	AGREGAT
AMORDEGRC	AMORDEGRC
AMORLINC	AMORLINC
AND	ET
ARABIC	ARABE
AREAS	ZONES
ASC	ASC
ASIN	ASIN
ASINH	ASINH
ATAN	ATAN
ATAN2	ATAN2
ATANH	ATANH
AVEDEV	ECART.MOYEN
AVERAGE	MOYENNE
AVERAGEA	MOYENNEA
AVERAGEIF	MOYENNE.SI
AVERAGEIFS	MOYENNE.SI.ENS
BAHTTEXT	BAHTTEXT
BASE	BASE
BESSELI	BESSELI
BESSELJ	BESSELJ
BESSELK	BESSELK
BESSELY	BESSELY
BETA.DIST	LOI.BETA.N
BETA.INV	LOI.BETA.INVERSE.N
BETADIST	LOI.BETA
BETAINV	LOI.BETA.INVERSE
BIN2DEC	BINDEC
BIN2HEX	BINHEX
BIN2OCT	BINOCT
BINOM.DIST	LOI.BINOMIALE.N
BINOM.DIST.RANGE	LOI.BINOMIALE.PLAGE
BINOM.INV	LOI.BINOMIALE.INVERSE
BINOMDIST	LOI.BINOMIALE
BITAND	BITAND
BITLSHIFT	BITLSHIFT
BITOR	BITOR
BITRSHIFT	BITRSHIFT
BITXOR	BITXOR
BYCOL	PARCOLONNE
BYROW	PARLIGNE
CEILING	PLAFOND
CEILING.MATH	PLAFOND.MATH
CEILING.PRECISE	PLAFOND.PRECIS
CELL	CELLULE
CHIDIST	LOI.KHIDEUX
CHIINV	LOI.KHIDEUX.INVERSE
CHISQ.DIST	LOI.KHIDEUX.N
CHISQ.DIST.RT	LOI.KHIDEUX.DROITE.N
CHISQ.INV	LOI.KHIDEUX.INVERSE.N
CHISQ.INV.RT	LOI.KHIDEUX.INVERSE.DROITE.N
CHISQ.TEST	TEST.KHIDEUX.N
CHITEST	TEST.KHIDEUX
CHOOSE	CHOISIR
CHOOSECOLS	CHOISIRCOLS
CHOOSEROWS	CHOISIRLIGNES
CLEAN	EPURAGE
COLUMN	COLONNE
COLUMNS	COLONNES
COMBIN	COMBIN
COMBINA	COMBINA
COMPLEX	COMPLEXE
CONCAT	CONCAT
CONCATENATE	CONCATENER
CONFIDENCE	INTERVALLE.CONFIANCE
CONFIDENCE.NORM	INTERVALLE.CONFIANCE.NORMALE
CONFIDENCE.T	INTERVALLE.CONFIANCE.STUDENT
CONVERT	CONVERTIR
CORREL	COEFFICIENT.CORRELATION
COS	COS
COSH	COSH
COT	COT
COTH	COTH
COUNT	NB
COUNTA	NBVAL
COUNTBLANK	NB.VIDE
COUNTIF	NB.SI
COUNTIFS	NB.SI.ENS
COUPDAYBS	NB.JOURS.COUPON.DEB
COUPDAYS	NB.JOURS.COUPON
COUPDAYSNC	NB.JOURS.COUPON.SUIV
COUPNCD	DATE.COUPON.SUIV
COUPNUM	NB.COUPONS
COUPPCD	DATE.COUPON.PREC
COVAR	COVARIANCE
COVARIANCE.P	COVARIANCE.P
COVARIANCE.S	COVARIANCE.S
CRITBINOM	CRITERE.BINOMIALE
CSC	CSC
CSCH	CSCH
CUBEKPIMEMBER	MEMBREKPI.CUBE
CUBEMEMBER	MEMBRE.CUBE
CUBEMEMBERPROPERTY	PROPRIETE.MEMBRE.CUBE
CUBERANKEDMEMBER	MEMBRE.RANG.CUBE
CUBESET	ENSEMBLE.CUBE
CUBESETCOUNT	NB.ENSEMBLE.CUBE
CUBEVALUE	VALEUR.CUBE
CUMIPMT	CUMUL.INTER
CUMPRINC	CUMUL.PRINCP
DATE	DATE
